,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
C10H14O6,10,14,6,0,0,0,0,0,CHO,Lignin,230.079128969382,-0.394591991648783,1,C10H14O6,0,0.142857142857143,4,-2,-2,66,228.816068825565,0.183931174435173,-0.2,0.6,1.4,0,0,NA,Lignin;Amino Sugar,Lignin,Other
C11H18O5,11,18,5,0,0,0,0,0,CHO,Protein,230.11550734592,-0.363546207804816,1,C11H18O5,0,0.0588235294117647,3,-2,-2,81.0272727272727,228.852406581683,0.147593418317371,-0.727272727272728,0.454545454545455,1.63636363636364,0,0,NA,Protein,Protein,Other
C12H22O4,12,22,4,0,0,0,0,0,CHO,Protein,230.151861601935,-0.227707631987555,1,C12H22O4,0,0,2,-2,-2,93.55,228.888720244211,0.11127975578944,-1.16666666666667,0.333333333333333,1.83333333333333,0,0,NA,Protein,Protein,Other
C13H26O3,13,26,3,0,0,0,0,0,CHO,Lipid,230.188220392682,-0.111612063615705,1,C13H26O3,0,0,1,-2,-2,104.146153846154,228.925038436407,0.0749615635929786,-1.53846153846154,0.230769230769231,2,0,0,NA,Lipid,Lipid,Other
C12H8O5,12,8,5,0,0,0,0,0,CHO,ConHC,232.037216577082,-0.186219187294161,1,C12H8O5,0.571428571428571,0.684210526315789,9,4,4,55.55,230.771970015149,0.22802998485065,0.166666666666667,0.416666666666667,0.666666666666667,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C9H12O5S,9,12,5,0,0,1,0,0,CHOS,Lignin,232.040591503175,-0.203918955185664,1,C9H12O5S,0,0.0909090909090909,4,-1,-2,60.3,230.77534117277,0.224658827230286,0,0.555555555555556,1.33333333333333,0,0,NA,Lignin,Lignin,Other
C9H12O7,9,12,7,0,0,0,0,0,CHO,Tannin,232.058353155648,-0.217254613183266,1,C9H12O7,0,0.0909090909090909,4,-3,-3,53.9666666666667,230.793082992423,0.206917007577118,0.222222222222222,0.777777777777778,1.33333333333333,0,0,NA,Other,Tannin,Other
C13H12O4,13,12,4,0,0,0,0,0,CHO,Lignin,232.073596968056,-0.164148170595426,1,C13H12O4,0.444444444444444,0.545454545454545,8,4,4,69.0692307692308,230.808309783454,0.191690216546249,-0.307692307692307,0.307692307692308,0.923076923076923,0,0,NA,Lignin,Lignin,Other
C10H16O4S,10,16,4,0,0,1,0,0,CHOS,Protein,232.07696926752,-0.170527562974878,1,C10H16O4S,0,0,3,-1,-2,77.4,230.811678317378,0.188321682621932,-0.6,0.4,1.6,0,0,NA,Protein,Protein,Other
C10H16O6,10,16,6,0,0,0,0,0,CHO,AminoSugar,232.094762953637,-0.32188333734717,1,C10H16O6,0,0,3,-3,-3,71.7,230.829452134906,0.170547865093823,-0.4,0.6,1.6,0,0,NA,Amino Sugar,Amino Sugar,Other
